२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/धान,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/मकै,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/गहुँ,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/आलु,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/जौ,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/कोदो,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/फापर,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/उवा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/दाल,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/रहर,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/मुसरो,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/चना,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सिमी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/भट्टमास,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/राजमा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/वोड़ी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/गहत,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/मास,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/केराउ,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/तोरी/सस्र्यु,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/आलस/तिल,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सूर्यमुखी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सिलाम,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/बन्दा/काउली/रायो,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/बोडी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/गोलभेंडा,"२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/काँक्रो,लौका,फर्सी","२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/परबल,कुन्द्रुक,काँक्रो","२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/करेला,घिरौला,चिचिण्डो",२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/मुला,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/खोर्सानी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/बेथे,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/भिन्डि,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/किम्ची,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/अदुवा/वेसार,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/प्याज/लसुन,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/च्याउ,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/कफी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/चिया,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/अलैंची,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/आँप/लिची,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/उखु,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/केरा/मेवा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सुन्तला/कागती (अमिलोेजात),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/स्याउ/आरुवखडा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/नास्पाति,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/आम्बा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/अनार,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/किवी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/खुर्पानी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/ओखर,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/जुनार,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/कटहर,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/तितेपाती (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/पुट्रकी (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/गुर्जो (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/जटामसी (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/निर्मसी (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/पांचऔले (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/यार्सागुम्वा (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/चिराईतो (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/बनलसुन (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सिलाजित (जडीवुटी),२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/झयाल,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/भुतकेश,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/भोजपत्र,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/दलिचिनी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/पाषणवेद,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सिकाकाई,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/धुपिपात,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/भलामी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/काँकडसिगी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/सतुवा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/उन्यु,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/कर्कलो,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/कुटकी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/अमला,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/ईन्द्रेणी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/काँस,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/काफलबोक्रा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/असुरो,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/वज्रदन्ती,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/आोखरबोक्रा,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/अंगरी,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/लौठसल्ला,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/वनलसुन,२.१३.१ निम्न कुन कृषि उपज उत्पादन  वा बिक्री गर्नुभएको छ?/गनानी,_index
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108
धान मकै कोदो,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111
धान मकै कोदो,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112
मकै कोदो,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118
आलु मकै कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123
कोदो आलु,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126
धान मकै कोदो,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127
धान मकै कोदो आलु,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128
धान मकै कोदो आलु गहुँ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129
धान मकै कोदो,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130
धान मकै कोदो आलु गहुँ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132
धान मकै आलु कोदो गहुँ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133
धान गहुँ मकै आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136
धान मकै कोदो,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141
धान आलु गहुँ कोदो मकै,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143
मकै आलु कोदो,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147
धान मकै कोदो आलु,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148
धान मकै कोदो आलु,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150
धान मकै गहुँ आलु कोदो,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160
