२.१४ तपाईको परिवारले कुनै चौपाया तथा पशुपंक्षी पाल्नुभएको छ ?,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/गाइगोरु/बाच्छाबाच्छी,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/राँगाभैसी/पाडापाडी,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/बाख्रा/खसी/बोका/च्याग्रा,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/भेडा,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/सुँगुर/वंगुर,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/कुखुरा/हाँस,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/घोडा/खच्चड,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/याक/चौरी,२.१५.१ निम्न कुन चौपाया तथा पशुपंक्षीहरु पाल्नुभएको छ ?/खरायो,२.१५.२ गाइगोरु/बाच्छाबाच्छीको संख्या,२.१५.३ गाइगोरु वार्षिक दूध उत्पादन(लिटर),२.१५.४ गाइगोरु विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ राँगाभैसी/पाडापाडीको संख्या,२.१५.३ राँगाभैसी वार्षिक दूध उत्पादन(लिटर),२.१५.४ राँगाभैसी वार्षिक मासु उत्पादन (के.जि.),२.१५.५ राँगाभैसी हाड/छाला(के.जि.),२.१५.६ राँगाभैसी विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ याक/चौरीको संख्या,२.१५.३  याक/चौरी वार्षिक दूध उत्पादन(लिटर),२.१५.४ याक/चौरी वार्षिक मासु उत्पादन (के.जि.),२.१५.५ याक/चौरी हाड/छाला(के.जि.),२.१५.६  याक/चौरी विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ बाख्रा/खसी/बोकाको संख्या,२.१५.३ बाख्रा वार्षिक दूध उत्पादन(लिटर),२.१५.४ बाख्रा वार्षिक मासु उत्पादन (के.जि.),२.१५.५ बाख्रा हाड/छाला(के.जि.),२.१५.६ बाख्रा विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ भेडाको संख्या,२.१५.३ भेडा वार्षिक दूध उत्पादन(लिटर),२.१५.४ भेडा वार्षिक मासु उत्पादन (के.जि.),२.१५.५ भेडा वार्षिक उन उत्पादन (के.जि.),२.१५.६ भेडा हाड/छाला(के.जि.),२.१५.७ भेडा विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ सुँगुर/वंगुरको संख्या,२.१५.३ सुँगुर/वंगुर वार्षिक मासु उत्पादन (के.जि.),२.१५.४ सुँगुर/वंगुर हाड/छाला(के.जि.),२.१५.५ सुँगुर/वंगुर विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ खरायोको संख्या,२.१५.३ खरायो वार्षिक मासु उत्पादन (के.जि.),२.१५.४ खरायो हाड/छाला(के.जि.),२.१५.५ खरायो विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ कुखुरा/हाँसको संख्या,२.१५.३ कुखुरा/हाँस वार्षिक मासु उत्पादन (के.जि.),२.१५.५ कुखुरा/हाँस वार्षिक अण्डा उत्पादन (संख्या),२.१५.७ कुखुरा/हाँस हाड/छाला(के.जि.),२.१५.८ कुखुरा/हाँस विक्रीबाट बार्षिक आम्दानी (रु.),२.१५.२ घोडा/खच्चड/झोपाको संख्या,२.१५.३ घोडा बार्षिक आम्दानी (रु.),"२.१६ तपाईको परिवारमा माछा, मौरी र रेशमपालन गर्नुभएको छ ?","२.१६.१ माछा, मौरी र रेशमपालन मध्ये के-के पालन गर्नुभएको छ ?","२.१६.१ माछा, मौरी र रेशमपालन मध्ये के-के पालन गर्नुभएको छ ?/माछा","२.१६.१ माछा, मौरी र रेशमपालन मध्ये के-के पालन गर्नुभएको छ ?/मौरी","२.१६.१ माछा, मौरी र रेशमपालन मध्ये के-के पालन गर्नुभएको छ ?/रेशम","<span style=""color:red"">नभएको खण्डमा 0 लेख्नुहोस</span>",२.१६.१ माछापालन गरेको पोखरी संख्या,२.१६.२ माछापालन पोखरीको क्षेत्रफल,२.१३.३ माछापालन गरिएको क्षेत्रफलको इकाई,२.१६.४ बार्षिक माछा उत्पादन (के.जि.),"<span style=""color:red"">नभएको खण्डमा 0 लेख्नुहोस</span>",२.१६.१ मौरी घार संख्या,२.१६.२ बार्षिक मह उत्पादन (के.जि.),"<span style=""color:red"">नभएको खण्डमा 0 लेख्नुहोस</span>",२.१६.१ रेशमखेती कोयो संख्या,२.१६.२ बार्षिक रेशम उत्पादन (के.जि.),_index
छ,बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,27
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,28
छ,गाइगोरु/बाच्छाबाच्छी राँगाभैसी/पाडापाडी बाख्रा/खसी/बोका/च्याग्रा,1,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,,,,,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,29
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,30
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,31
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,32
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,33
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,34
छ,बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,35
छ,बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,6,0,0,0,0,,,,,,,,,,,,,,,10,0,0,0,0,,,छ,मौरी,0,1,0,,,,,,,5,8,,,,36
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,37
छ,कुखुरा/हाँस,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,38
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,39
छ,राँगाभैसी/पाडापाडी कुखुरा/हाँस गाइगोरु/बाच्छाबाच्छी,1,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,40
छ,बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,10,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,41
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,42
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,43
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,44
छ,राँगाभैसी/पाडापाडी,0,1,0,0,0,0,0,0,0,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,45
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,46
छ,बाख्रा/खसी/बोका/च्याग्रा गाइगोरु/बाच्छाबाच्छी,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,47
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,48
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,49
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,50
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,51
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छ,मौरी,0,1,0,,,,,,,1,2,,,,52
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,53
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,54
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,55
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,56
छ,गाइगोरु/बाच्छाबाच्छी,1,0,0,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,57
छ,गाइगोरु/बाच्छाबाच्छी,1,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,58
छ,बाख्रा/खसी/बोका/च्याग्रा गाइगोरु/बाच्छाबाच्छी,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,59
छ,गाइगोरु/बाच्छाबाच्छी,1,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,60
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,4,0,0,,,,,,,,,,,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,61
छ,कुखुरा/हाँस,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,62
छ,गाइगोरु/बाच्छाबाच्छी राँगाभैसी/पाडापाडी बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,1,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,,,,,,5,0,0,0,0,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,63
छ,गाइगोरु/बाच्छाबाच्छी,1,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,64
छ,बाख्रा/खसी/बोका/च्याग्रा,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,65
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,66
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,67
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,68
छ,राँगाभैसी/पाडापाडी बाख्रा/खसी/बोका/च्याग्रा,0,1,1,0,0,0,0,0,0,,,,2,0,0,0,0,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,69
छ,गाइगोरु/बाच्छाबाच्छी,1,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,70
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,71
छ,राँगाभैसी/पाडापाडी गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,1,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,,,,,,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,72
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,73
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,74
छ,बाख्रा/खसी/बोका/च्याग्रा,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,75
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,76
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,77
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,78
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,4,0,0,,,,,,,,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,79
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,80
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा कुखुरा/हाँस,1,0,1,0,0,1,0,0,0,2,0,0,,,,,,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,5,0,0,0,0,,,छैन,,,,,,,,,,,,,,,,81
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,6,0,0,,,,,,,,,,,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,82
छ,राँगाभैसी/पाडापाडी गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,,,,,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छ,मौरी,0,1,0,,,,,,,1,2,,,,83
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,4,0,0,,,,,,,,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,84
छ,राँगाभैसी/पाडापाडी बाख्रा/खसी/बोका/च्याग्रा,0,1,1,0,0,0,0,0,0,,,,2,0,0,0,0,,,,,,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,85
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,4,0,0,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,86
छ,राँगाभैसी/पाडापाडी,0,1,0,0,0,0,0,0,0,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,87
छैन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,88
छ,गाइगोरु/बाच्छाबाच्छी बाख्रा/खसी/बोका/च्याग्रा,1,0,1,0,0,0,0,0,0,2,0,0,,,,,,,,,,,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,छैन,,,,,,,,,,,,,,,,89
